"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Mean Annual Earnings","2014","50 - 59 years","Female","Euro","35650"
"Mean Annual Earnings","2014","60 years and over","Both sexes","Euro","33521"
"Mean Annual Earnings","2014","60 years and over","Male","Euro","41383"
"Mean Annual Earnings","2014","60 years and over","Female","Euro","25684"
"Mean Annual Earnings","2015","15 - 24 years","Both sexes","Euro","17921"
"Mean Annual Earnings","2015","15 - 24 years","Male","Euro","19133"
"Mean Annual Earnings","2015","15 - 24 years","Female","Euro","16739"
"Mean Annual Earnings","2015","15 years and over","Both sexes","Euro","40799"
"Mean Annual Earnings","2015","15 years and over","Male","Euro","46604"
"Mean Annual Earnings","2015","15 years and over","Female","Euro","35012"
"Mean Annual Earnings","2015","25 - 29 years","Both sexes","Euro","30407"
"Mean Annual Earnings","2015","25 - 29 years","Male","Euro","31800"
"Mean Annual Earnings","2015","25 - 29 years","Female","Euro","29038"
"Mean Annual Earnings","2015","30 - 39 years","Both sexes","Euro","40687"
"Mean Annual Earnings","2015","30 - 39 years","Male","Euro","43831"
"Mean Annual Earnings","2015","30 - 39 years","Female","Euro","37400"
"Mean Annual Earnings","2015","40 - 49 years","Both sexes","Euro","47976"
"Mean Annual Earnings","2015","40 - 49 years","Male","Euro","56109"
"Mean Annual Earnings","2015","40 - 49 years","Female","Euro","39597"
"Mean Annual Earnings","2015","50 - 59 years","Both sexes","Euro","45485"
"Mean Annual Earnings","2015","50 - 59 years","Male","Euro","55337"
"Mean Annual Earnings","2015","50 - 59 years","Female","Euro","36407"
"Mean Annual Earnings","2015","60 years and over","Both sexes","Euro","34051"
"Mean Annual Earnings","2015","60 years and over","Male","Euro","41524"
"Mean Annual Earnings","2015","60 years and over","Female","Euro","26654"
"Mean Annual Earnings","2016","15 - 24 years","Both sexes","Euro","18586"
"Mean Annual Earnings","2016","15 - 24 years","Male","Euro","19867"
"Mean Annual Earnings","2016","15 - 24 years","Female","Euro","17332"
"Mean Annual Earnings","2016","15 years and over","Both sexes","Euro","41250"
"Mean Annual Earnings","2016","15 years and over","Male","Euro","47108"
"Mean Annual Earnings","2016","15 years and over","Female","Euro","35329"
"Mean Annual Earnings","2016","25 - 29 years","Both sexes","Euro","31191"
"Mean Annual Earnings","2016","25 - 29 years","Male","Euro","32760"
"Mean Annual Earnings","2016","25 - 29 years","Female","Euro","29592"
"Mean Annual Earnings","2016","30 - 39 years","Both sexes","Euro","41153"
"Mean Annual Earnings","2016","30 - 39 years","Male","Euro","44569"
"Mean Annual Earnings","2016","30 - 39 years","Female","Euro","37539"
"Mean Annual Earnings","2016","40 - 49 years","Both sexes","Euro","48348"
"Mean Annual Earnings","2016","40 - 49 years","Male","Euro","56236"
"Mean Annual Earnings","2016","40 - 49 years","Female","Euro","40123"
"Mean Annual Earnings","2016","50 - 59 years","Both sexes","Euro","45855"
"Mean Annual Earnings","2016","50 - 59 years","Male","Euro","55636"
"Mean Annual Earnings","2016","50 - 59 years","Female","Euro","36676"
"Mean Annual Earnings","2016","60 years and over","Both sexes","Euro","34656"
"Mean Annual Earnings","2016","60 years and over","Male","Euro","42091"
"Mean Annual Earnings","2016","60 years and over","Female","Euro","27240"
"Mean Annual Earnings","2017","15 - 24 years","Both sexes","Euro","19169"
"Mean Annual Earnings","2017","15 - 24 years","Male","Euro","20554"
"Mean Annual Earnings","2017","15 - 24 years","Female","Euro","17800"
"Mean Annual Earnings","2017","15 years and over","Both sexes","Euro","42330"
"Mean Annual Earnings","2017","15 years and over","Male","Euro","48214"
"Mean Annual Earnings","2017","15 years and over","Female","Euro","36288"
"Mean Annual Earnings","2017","25 - 29 years","Both sexes","Euro","32570"
"Mean Annual Earnings","2017","25 - 29 years","Male","Euro","34157"
"Mean Annual Earnings","2017","25 - 29 years","Female","Euro","30902"
"Mean Annual Earnings","2017","30 - 39 years","Both sexes","Euro","42398"
"Mean Annual Earnings","2017","30 - 39 years","Male","Euro","46019"
"Mean Annual Earnings","2017","30 - 39 years","Female","Euro","38509"
"Mean Annual Earnings","2017","40 - 49 years","Both sexes","Euro","49268"
"Mean Annual Earnings","2017","40 - 49 years","Male","Euro","56989"
"Mean Annual Earnings","2017","40 - 49 years","Female","Euro","41159"
"Mean Annual Earnings","2017","50 - 59 years","Both sexes","Euro","46822"
"Mean Annual Earnings","2017","50 - 59 years","Male","Euro","56515"
"Mean Annual Earnings","2017","50 - 59 years","Female","Euro","37629"
