"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Median Annual Earnings","2018","25 - 29 years","Female","Euro","30192"
"Median Annual Earnings","2018","30 - 39 years","Both sexes","Euro","37882"
"Median Annual Earnings","2018","30 - 39 years","Male","Euro","39799"
"Median Annual Earnings","2018","30 - 39 years","Female","Euro","35526"
"Median Annual Earnings","2018","40 - 49 years","Both sexes","Euro","40608"
"Median Annual Earnings","2018","40 - 49 years","Male","Euro","45910"
"Median Annual Earnings","2018","40 - 49 years","Female","Euro","35722"
"Median Annual Earnings","2018","50 - 59 years","Both sexes","Euro","38338"
"Median Annual Earnings","2018","50 - 59 years","Male","Euro","45057"
"Median Annual Earnings","2018","50 - 59 years","Female","Euro","32760"
"Median Annual Earnings","2018","60 years and over","Both sexes","Euro","29649"
"Median Annual Earnings","2018","60 years and over","Male","Euro","35136"
"Median Annual Earnings","2018","60 years and over","Female","Euro","24000"
"Median Annual Earnings","2019","15 - 24 years","Both sexes","Euro","19422"
"Median Annual Earnings","2019","15 - 24 years","Male","Euro","21078"
"Median Annual Earnings","2019","15 - 24 years","Female","Euro","17857"
"Median Annual Earnings","2019","15 years and over","Both sexes","Euro","37001"
"Median Annual Earnings","2019","15 years and over","Male","Euro","40517"
"Median Annual Earnings","2019","15 years and over","Female","Euro","33056"
"Median Annual Earnings","2019","25 - 29 years","Both sexes","Euro","32767"
"Median Annual Earnings","2019","25 - 29 years","Male","Euro","33716"
"Median Annual Earnings","2019","25 - 29 years","Female","Euro","31664"
"Median Annual Earnings","2019","30 - 39 years","Both sexes","Euro","39312"
"Median Annual Earnings","2019","30 - 39 years","Male","Euro","41354"
"Median Annual Earnings","2019","30 - 39 years","Female","Euro","36725"
"Median Annual Earnings","2019","40 - 49 years","Both sexes","Euro","41855"
"Median Annual Earnings","2019","40 - 49 years","Male","Euro","47222"
"Median Annual Earnings","2019","40 - 49 years","Female","Euro","36914"
"Median Annual Earnings","2019","50 - 59 years","Both sexes","Euro","39189"
"Median Annual Earnings","2019","50 - 59 years","Male","Euro","46039"
"Median Annual Earnings","2019","50 - 59 years","Female","Euro","33793"
"Median Annual Earnings","2019","60 years and over","Both sexes","Euro","30849"
"Median Annual Earnings","2019","60 years and over","Male","Euro","36285"
"Median Annual Earnings","2019","60 years and over","Female","Euro","25186"
"Median Annual Earnings","2020","15 - 24 years","Both sexes","Euro","22009"
"Median Annual Earnings","2020","15 - 24 years","Male","Euro","23300"
"Median Annual Earnings","2020","15 - 24 years","Female","Euro","20665"
"Median Annual Earnings","2020","15 years and over","Both sexes","Euro","40579"
"Median Annual Earnings","2020","15 years and over","Male","Euro","44105"
"Median Annual Earnings","2020","15 years and over","Female","Euro","37462"
"Median Annual Earnings","2020","25 - 29 years","Both sexes","Euro","35743"
"Median Annual Earnings","2020","25 - 29 years","Male","Euro","36160"
"Median Annual Earnings","2020","25 - 29 years","Female","Euro","35221"
"Median Annual Earnings","2020","30 - 39 years","Both sexes","Euro","43227"
"Median Annual Earnings","2020","30 - 39 years","Male","Euro","45018"
"Median Annual Earnings","2020","30 - 39 years","Female","Euro","41081"
"Median Annual Earnings","2020","40 - 49 years","Both sexes","Euro","46070"
"Median Annual Earnings","2020","40 - 49 years","Male","Euro","51233"
"Median Annual Earnings","2020","40 - 49 years","Female","Euro","41084"
"Median Annual Earnings","2020","50 - 59 years","Both sexes","Euro","42528"
"Median Annual Earnings","2020","50 - 59 years","Male","Euro","49310"
"Median Annual Earnings","2020","50 - 59 years","Female","Euro","37651"
"Median Annual Earnings","2020","60 years and over","Both sexes","Euro","34724"
"Median Annual Earnings","2020","60 years and over","Male","Euro","39805"
"Median Annual Earnings","2020","60 years and over","Female","Euro","29875"
"Median Annual Earnings","2021","15 - 24 years","Both sexes","Euro","22130"
"Median Annual Earnings","2021","15 - 24 years","Male","Euro","23532"
"Median Annual Earnings","2021","15 - 24 years","Female","Euro","20657"
"Median Annual Earnings","2021","15 years and over","Both sexes","Euro","41222"
"Median Annual Earnings","2021","15 years and over","Male","Euro","44892"
"Median Annual Earnings","2021","15 years and over","Female","Euro","37894"
"Median Annual Earnings","2021","25 - 29 years","Both sexes","Euro","37108"
"Median Annual Earnings","2021","25 - 29 years","Male","Euro","37756"
"Median Annual Earnings","2021","25 - 29 years","Female","Euro","36317"
"Median Annual Earnings","2021","30 - 39 years","Both sexes","Euro","44015"
"Median Annual Earnings","2021","30 - 39 years","Male","Euro","46036"
"Median Annual Earnings","2021","30 - 39 years","Female","Euro","41529"
"Median Annual Earnings","2021","40 - 49 years","Both sexes","Euro","46573"
"Median Annual Earnings","2021","40 - 49 years","Male","Euro","51596"
"Median Annual Earnings","2021","40 - 49 years","Female","Euro","41512"
"Median Annual Earnings","2021","50 - 59 years","Both sexes","Euro","42985"
"Median Annual Earnings","2021","50 - 59 years","Male","Euro","49582"
"Median Annual Earnings","2021","50 - 59 years","Female","Euro","38049"
"Median Annual Earnings","2021","60 years and over","Both sexes","Euro","34651"
"Median Annual Earnings","2021","60 years and over","Male","Euro","39414"
"Median Annual Earnings","2021","60 years and over","Female","Euro","29954"
"Median Annual Earnings","2022","15 - 24 years","Both sexes","Euro","21248"
"Median Annual Earnings","2022","15 - 24 years","Male","Euro","22845"
"Median Annual Earnings","2022","15 - 24 years","Female","Euro","19737"
"Median Annual Earnings","2022","15 years and over","Both sexes","Euro","41823"
"Median Annual Earnings","2022","15 years and over","Male","Euro","45537"
"Median Annual Earnings","2022","15 years and over","Female","Euro","37782"
"Median Annual Earnings","2022","25 - 29 years","Both sexes","Euro","37800"
"Median Annual Earnings","2022","25 - 29 years","Male","Euro","38620"
"Median Annual Earnings","2022","25 - 29 years","Female","Euro","36747"
"Median Annual Earnings","2022","30 - 39 years","Both sexes","Euro","45227"
"Median Annual Earnings","2022","30 - 39 years","Male","Euro","47603"
"Median Annual Earnings","2022","30 - 39 years","Female","Euro","42350"
"Median Annual Earnings","2022","40 - 49 years","Both sexes","Euro","47296"
"Median Annual Earnings","2022","40 - 49 years","Male","Euro","52362"
"Median Annual Earnings","2022","40 - 49 years","Female","Euro","42297"
"Median Annual Earnings","2022","50 - 59 years","Both sexes","Euro","43668"
"Median Annual Earnings","2022","50 - 59 years","Male","Euro","50286"
"Median Annual Earnings","2022","50 - 59 years","Female","Euro","38351"
"Median Annual Earnings","2022","60 years and over","Both sexes","Euro","34894"
"Median Annual Earnings","2022","60 years and over","Male","Euro","39813"
"Median Annual Earnings","2022","60 years and over","Female","Euro","29459"
