"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Weekly Earnings","2018","Male","Industry (B to E)","Euro","930.74"
"Mean Weekly Earnings","2018","Male","Financial, insurance and real estate activities (K,L)","Euro","1311.19"
"Mean Weekly Earnings","2018","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","543.31"
"Mean Weekly Earnings","2018","Female","All NACE economic sectors","Euro","621.7"
"Mean Weekly Earnings","2018","Female","Construction (F)","Euro","500.1"
"Mean Weekly Earnings","2018","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","448.1"
"Mean Weekly Earnings","2018","Female","Transportation and storage (H)","Euro","629.61"
"Mean Weekly Earnings","2018","Female","Accommodation and food service activities (I)","Euro","303.03"
"Mean Weekly Earnings","2018","Female","Information and communication (J)","Euro","1046.63"
"Mean Weekly Earnings","2018","Female","Professional, scientific and technical activities (M)","Euro","749.87"
"Mean Weekly Earnings","2018","Female","Administrative and support service activities (N)","Euro","498.24"
"Mean Weekly Earnings","2018","Female","Public administration and defence; compulsory social security (O)","Euro","818.08"
"Mean Weekly Earnings","2018","Female","Education (P)","Euro","745.62"
"Mean Weekly Earnings","2018","Female","Human health and social work activities (Q)","Euro","649.11"
"Mean Weekly Earnings","2018","Female","Industry (B to E)","Euro","780.01"
"Mean Weekly Earnings","2018","Female","Financial, insurance and real estate activities (K,L)","Euro","874.58"
"Mean Weekly Earnings","2018","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","387.08"
"Mean Weekly Earnings","2019","Both sexes","All NACE economic sectors","Euro","753.58"
"Mean Weekly Earnings","2019","Both sexes","Construction (F)","Euro","718.14"
"Mean Weekly Earnings","2019","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","581.81"
"Mean Weekly Earnings","2019","Both sexes","Transportation and storage (H)","Euro","757.07"
"Mean Weekly Earnings","2019","Both sexes","Accommodation and food service activities (I)","Euro","354.14"
"Mean Weekly Earnings","2019","Both sexes","Information and communication (J)","Euro","1276.83"
"Mean Weekly Earnings","2019","Both sexes","Professional, scientific and technical activities (M)","Euro","953.34"
"Mean Weekly Earnings","2019","Both sexes","Administrative and support service activities (N)","Euro","630.09"
"Mean Weekly Earnings","2019","Both sexes","Public administration and defence; compulsory social security (O)","Euro","936.25"
"Mean Weekly Earnings","2019","Both sexes","Education (P)","Euro","810.3"
"Mean Weekly Earnings","2019","Both sexes","Human health and social work activities (Q)","Euro","715.73"
"Mean Weekly Earnings","2019","Both sexes","Industry (B to E)","Euro","922.71"
"Mean Weekly Earnings","2019","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","1126.29"
"Mean Weekly Earnings","2019","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","462.42"
"Mean Weekly Earnings","2019","Male","All NACE economic sectors","Euro","858.25"
"Mean Weekly Earnings","2019","Male","Construction (F)","Euro","742.75"
"Mean Weekly Earnings","2019","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","690.49"
"Mean Weekly Earnings","2019","Male","Transportation and storage (H)","Euro","783.27"
"Mean Weekly Earnings","2019","Male","Accommodation and food service activities (I)","Euro","403.18"
"Mean Weekly Earnings","2019","Male","Information and communication (J)","Euro","1386.99"
"Mean Weekly Earnings","2019","Male","Professional, scientific and technical activities (M)","Euro","1106.72"
"Mean Weekly Earnings","2019","Male","Administrative and support service activities (N)","Euro","707.9"
"Mean Weekly Earnings","2019","Male","Public administration and defence; compulsory social security (O)","Euro","1012.64"
"Mean Weekly Earnings","2019","Male","Education (P)","Euro","917.67"
"Mean Weekly Earnings","2019","Male","Human health and social work activities (Q)","Euro","846.33"
"Mean Weekly Earnings","2019","Male","Industry (B to E)","Euro","965.72"
"Mean Weekly Earnings","2019","Male","Financial, insurance and real estate activities (K,L)","Euro","1356.43"
"Mean Weekly Earnings","2019","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","559.67"
"Mean Weekly Earnings","2019","Female","All NACE economic sectors","Euro","647.5"
"Mean Weekly Earnings","2019","Female","Construction (F)","Euro","517.36"
"Mean Weekly Earnings","2019","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","472.06"
"Mean Weekly Earnings","2019","Female","Transportation and storage (H)","Euro","666.36"
"Mean Weekly Earnings","2019","Female","Accommodation and food service activities (I)","Euro","311.63"
"Mean Weekly Earnings","2019","Female","Information and communication (J)","Euro","1078.98"
"Mean Weekly Earnings","2019","Female","Professional, scientific and technical activities (M)","Euro","795.75"
"Mean Weekly Earnings","2019","Female","Administrative and support service activities (N)","Euro","525.87"
"Mean Weekly Earnings","2019","Female","Public administration and defence; compulsory social security (O)","Euro","841.43"
"Mean Weekly Earnings","2019","Female","Education (P)","Euro","771.59"
"Mean Weekly Earnings","2019","Female","Human health and social work activities (Q)","Euro","676.81"
"Mean Weekly Earnings","2019","Female","Industry (B to E)","Euro","811.93"
"Mean Weekly Earnings","2019","Female","Financial, insurance and real estate activities (K,L)","Euro","918.92"
"Mean Weekly Earnings","2019","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","399.17"
"Mean Weekly Earnings","2020","Both sexes","All NACE economic sectors","Euro","801.41"
"Mean Weekly Earnings","2020","Both sexes","Construction (F)","Euro","733.33"
"Mean Weekly Earnings","2020","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","602"
"Mean Weekly Earnings","2020","Both sexes","Transportation and storage (H)","Euro","741.79"
"Mean Weekly Earnings","2020","Both sexes","Accommodation and food service activities (I)","Euro","369.05"
"Mean Weekly Earnings","2020","Both sexes","Information and communication (J)","Euro","1375.36"
"Mean Weekly Earnings","2020","Both sexes","Professional, scientific and technical activities (M)","Euro","1001.2"
"Mean Weekly Earnings","2020","Both sexes","Administrative and support service activities (N)","Euro","658.36"
"Mean Weekly Earnings","2020","Both sexes","Public administration and defence; compulsory social security (O)","Euro","956.74"
"Mean Weekly Earnings","2020","Both sexes","Education (P)","Euro","845.96"
"Mean Weekly Earnings","2020","Both sexes","Human health and social work activities (Q)","Euro","751.78"
"Mean Weekly Earnings","2020","Both sexes","Industry (B to E)","Euro","949.93"
"Mean Weekly Earnings","2020","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","1188.6"
"Mean Weekly Earnings","2020","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","496.01"
"Mean Weekly Earnings","2020","Male","All NACE economic sectors","Euro","903.33"
"Mean Weekly Earnings","2020","Male","Construction (F)","Euro","756.28"
"Mean Weekly Earnings","2020","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","705.38"
"Mean Weekly Earnings","2020","Male","Transportation and storage (H)","Euro","765.91"
"Mean Weekly Earnings","2020","Male","Accommodation and food service activities (I)","Euro","417.4"
"Mean Weekly Earnings","2020","Male","Information and communication (J)","Euro","1473.36"
"Mean Weekly Earnings","2020","Male","Professional, scientific and technical activities (M)","Euro","1169.89"
"Mean Weekly Earnings","2020","Male","Administrative and support service activities (N)","Euro","733.81"
"Mean Weekly Earnings","2020","Male","Public administration and defence; compulsory social security (O)","Euro","1019.28"
"Mean Weekly Earnings","2020","Male","Education (P)","Euro","963.18"
"Mean Weekly Earnings","2020","Male","Human health and social work activities (Q)","Euro","889.33"
"Mean Weekly Earnings","2020","Male","Industry (B to E)","Euro","987.37"
"Mean Weekly Earnings","2020","Male","Financial, insurance and real estate activities (K,L)","Euro","1424.19"
"Mean Weekly Earnings","2020","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","599.93"
"Mean Weekly Earnings","2020","Female","All NACE economic sectors","Euro","696.91"
"Mean Weekly Earnings","2020","Female","Construction (F)","Euro","542.71"
"Mean Weekly Earnings","2020","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","494.59"
"Mean Weekly Earnings","2020","Female","Transportation and storage (H)","Euro","653.53"
"Mean Weekly Earnings","2020","Female","Accommodation and food service activities (I)","Euro","327.65"
"Mean Weekly Earnings","2020","Female","Information and communication (J)","Euro","1202.85"
"Mean Weekly Earnings","2020","Female","Professional, scientific and technical activities (M)","Euro","824.02"
"Mean Weekly Earnings","2020","Female","Administrative and support service activities (N)","Euro","556.71"
"Mean Weekly Earnings","2020","Female","Public administration and defence; compulsory social security (O)","Euro","876.16"
"Mean Weekly Earnings","2020","Female","Education (P)","Euro","804.53"
"Mean Weekly Earnings","2020","Female","Human health and social work activities (Q)","Euro","710.94"
"Mean Weekly Earnings","2020","Female","Industry (B to E)","Euro","853.97"
"Mean Weekly Earnings","2020","Female","Financial, insurance and real estate activities (K,L)","Euro","972.86"
"Mean Weekly Earnings","2020","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","428.44"
"Mean Weekly Earnings","2021","Both sexes","All NACE economic sectors","Euro","820.95"
"Mean Weekly Earnings","2021","Both sexes","Construction (F)","Euro","767.94"
"Mean Weekly Earnings","2021","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","615.3"
"Mean Weekly Earnings","2021","Both sexes","Transportation and storage (H)","Euro","753.54"
"Mean Weekly Earnings","2021","Both sexes","Accommodation and food service activities (I)","Euro","383.16"
"Mean Weekly Earnings","2021","Both sexes","Information and communication (J)","Euro","1500.75"
"Mean Weekly Earnings","2021","Both sexes","Professional, scientific and technical activities (M)","Euro","1030.07"
"Mean Weekly Earnings","2021","Both sexes","Administrative and support service activities (N)","Euro","684.78"
"Mean Weekly Earnings","2021","Both sexes","Public administration and defence; compulsory social security (O)","Euro","974.72"
"Mean Weekly Earnings","2021","Both sexes","Education (P)","Euro","852.75"
"Mean Weekly Earnings","2021","Both sexes","Human health and social work activities (Q)","Euro","767.45"
"Mean Weekly Earnings","2021","Both sexes","Industry (B to E)","Euro","977.37"
"Mean Weekly Earnings","2021","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","1225.26"
"Mean Weekly Earnings","2021","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","516.75"
"Mean Weekly Earnings","2021","Male","All NACE economic sectors","Euro","928.07"
"Mean Weekly Earnings","2021","Male","Construction (F)","Euro","792.07"
"Mean Weekly Earnings","2021","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","726.75"
"Mean Weekly Earnings","2021","Male","Transportation and storage (H)","Euro","775.81"
"Mean Weekly Earnings","2021","Male","Accommodation and food service activities (I)","Euro","435.18"
"Mean Weekly Earnings","2021","Male","Information and communication (J)","Euro","1611.58"
"Mean Weekly Earnings","2021","Male","Professional, scientific and technical activities (M)","Euro","1182.62"
"Mean Weekly Earnings","2021","Male","Administrative and support service activities (N)","Euro","763.23"
"Mean Weekly Earnings","2021","Male","Public administration and defence; compulsory social security (O)","Euro","1030.43"
"Mean Weekly Earnings","2021","Male","Education (P)","Euro","973.14"
"Mean Weekly Earnings","2021","Male","Human health and social work activities (Q)","Euro","894.79"
"Mean Weekly Earnings","2021","Male","Industry (B to E)","Euro","1017.57"
"Mean Weekly Earnings","2021","Male","Financial, insurance and real estate activities (K,L)","Euro","1461.15"
"Mean Weekly Earnings","2021","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","616.67"
"Mean Weekly Earnings","2021","Female","All NACE economic sectors","Euro","712.1"
"Mean Weekly Earnings","2021","Female","Construction (F)","Euro","570.89"
"Mean Weekly Earnings","2021","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","501.77"
"Mean Weekly Earnings","2021","Female","Transportation and storage (H)","Euro","670.55"
"Mean Weekly Earnings","2021","Female","Accommodation and food service activities (I)","Euro","338.88"
"Mean Weekly Earnings","2021","Female","Information and communication (J)","Euro","1309.31"
"Mean Weekly Earnings","2021","Female","Professional, scientific and technical activities (M)","Euro","868.37"
"Mean Weekly Earnings","2021","Female","Administrative and support service activities (N)","Euro","582.79"
"Mean Weekly Earnings","2021","Female","Public administration and defence; compulsory social security (O)","Euro","903.02"
"Mean Weekly Earnings","2021","Female","Education (P)","Euro","810.02"
"Mean Weekly Earnings","2021","Female","Human health and social work activities (Q)","Euro","729.41"
"Mean Weekly Earnings","2021","Female","Industry (B to E)","Euro","877.39"
"Mean Weekly Earnings","2021","Female","Financial, insurance and real estate activities (K,L)","Euro","1005.89"
"Mean Weekly Earnings","2021","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","450.63"
"Mean Weekly Earnings","2022","Both sexes","All NACE economic sectors","Euro","856.21"
"Mean Weekly Earnings","2022","Both sexes","Construction (F)","Euro","792.6"
"Mean Weekly Earnings","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","641.08"
"Mean Weekly Earnings","2022","Both sexes","Transportation and storage (H)","Euro","807.71"
"Mean Weekly Earnings","2022","Both sexes","Accommodation and food service activities (I)","Euro","392.99"
"Mean Weekly Earnings","2022","Both sexes","Information and communication (J)","Euro","1591.37"
"Mean Weekly Earnings","2022","Both sexes","Professional, scientific and technical activities (M)","Euro","1076.8"
"Mean Weekly Earnings","2022","Both sexes","Administrative and support service activities (N)","Euro","731.83"
"Mean Weekly Earnings","2022","Both sexes","Public administration and defence; compulsory social security (O)","Euro","1020.75"
"Mean Weekly Earnings","2022","Both sexes","Education (P)","Euro","880.81"
"Mean Weekly Earnings","2022","Both sexes","Human health and social work activities (Q)","Euro","805.07"
"Mean Weekly Earnings","2022","Both sexes","Industry (B to E)","Euro","1024.27"
"Mean Weekly Earnings","2022","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","1264.55"
"Mean Weekly Earnings","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","524.26"
"Mean Weekly Earnings","2022","Male","All NACE economic sectors","Euro","969.67"
"Mean Weekly Earnings","2022","Male","Construction (F)","Euro","820.48"
"Mean Weekly Earnings","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","760.44"
"Mean Weekly Earnings","2022","Male","Transportation and storage (H)","Euro","832.96"
"Mean Weekly Earnings","2022","Male","Accommodation and food service activities (I)","Euro","448.24"
"Mean Weekly Earnings","2022","Male","Information and communication (J)","Euro","1706.59"
"Mean Weekly Earnings","2022","Male","Professional, scientific and technical activities (M)","Euro","1235.63"
"Mean Weekly Earnings","2022","Male","Administrative and support service activities (N)","Euro","816.18"
"Mean Weekly Earnings","2022","Male","Public administration and defence; compulsory social security (O)","Euro","1074.85"
"Mean Weekly Earnings","2022","Male","Education (P)","Euro","1002.52"
"Mean Weekly Earnings","2022","Male","Human health and social work activities (Q)","Euro","935.86"
"Mean Weekly Earnings","2022","Male","Industry (B to E)","Euro","1066.04"
"Mean Weekly Earnings","2022","Male","Financial, insurance and real estate activities (K,L)","Euro","1520.42"
"Mean Weekly Earnings","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","627.67"
"Mean Weekly Earnings","2022","Female","All NACE economic sectors","Euro","741.5"
"Mean Weekly Earnings","2022","Female","Construction (F)","Euro","584.68"
"Mean Weekly Earnings","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","521.29"
"Mean Weekly Earnings","2022","Female","Transportation and storage (H)","Euro","718.35"
"Mean Weekly Earnings","2022","Female","Accommodation and food service activities (I)","Euro","345.25"
"Mean Weekly Earnings","2022","Female","Information and communication (J)","Euro","1397.67"
"Mean Weekly Earnings","2022","Female","Professional, scientific and technical activities (M)","Euro","910.53"
"Mean Weekly Earnings","2022","Female","Administrative and support service activities (N)","Euro","625.07"
"Mean Weekly Earnings","2022","Female","Public administration and defence; compulsory social security (O)","Euro","951.41"
"Mean Weekly Earnings","2022","Female","Education (P)","Euro","836.98"
"Mean Weekly Earnings","2022","Female","Human health and social work activities (Q)","Euro","765.63"
"Mean Weekly Earnings","2022","Female","Industry (B to E)","Euro","922.79"
"Mean Weekly Earnings","2022","Female","Financial, insurance and real estate activities (K,L)","Euro","1028.71"
"Mean Weekly Earnings","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","456.24"
"Median Weekly Earnings","2011","Both sexes","All NACE economic sectors","Euro","534.84"
"Median Weekly Earnings","2011","Both sexes","Construction (F)","Euro","546.72"
"Median Weekly Earnings","2011","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","388.68"
"Median Weekly Earnings","2011","Both sexes","Transportation and storage (H)","Euro","592.04"
"Median Weekly Earnings","2011","Both sexes","Accommodation and food service activities (I)","Euro","290.92"
"Median Weekly Earnings","2011","Both sexes","Information and communication (J)","Euro","833.69"
"Median Weekly Earnings","2011","Both sexes","Professional, scientific and technical activities (M)","Euro","587.82"
"Median Weekly Earnings","2011","Both sexes","Administrative and support service activities (N)","Euro","410.26"
"Median Weekly Earnings","2011","Both sexes","Public administration and defence; compulsory social security (O)","Euro","815.15"
"Median Weekly Earnings","2011","Both sexes","Education (P)","Euro","745.48"
"Median Weekly Earnings","2011","Both sexes","Human health and social work activities (Q)","Euro","587.34"
"Median Weekly Earnings","2011","Both sexes","Industry (B to E)","Euro","645.23"
"Median Weekly Earnings","2011","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","737.89"
"Median Weekly Earnings","2011","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","335.92"
"Median Weekly Earnings","2011","Male","All NACE economic sectors","Euro","603.63"
"Median Weekly Earnings","2011","Male","Construction (F)","Euro","570.07"
"Median Weekly Earnings","2011","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","473.94"
"Median Weekly Earnings","2011","Male","Transportation and storage (H)","Euro","635.78"
"Median Weekly Earnings","2011","Male","Accommodation and food service activities (I)","Euro","332.55"
"Median Weekly Earnings","2011","Male","Information and communication (J)","Euro","913.88"
"Median Weekly Earnings","2011","Male","Professional, scientific and technical activities (M)","Euro","703.07"
"Median Weekly Earnings","2011","Male","Administrative and support service activities (N)","Euro","449.3"
"Median Weekly Earnings","2011","Male","Public administration and defence; compulsory social security (O)","Euro","895.28"
"Median Weekly Earnings","2011","Male","Education (P)","Euro","821.77"
"Median Weekly Earnings","2011","Male","Human health and social work activities (Q)","Euro","678.75"
"Median Weekly Earnings","2011","Male","Industry (B to E)","Euro","689.36"
"Median Weekly Earnings","2011","Male","Financial, insurance and real estate activities (K,L)","Euro","914.75"
"Median Weekly Earnings","2011","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","399.93"
"Median Weekly Earnings","2011","Female","All NACE economic sectors","Euro","471.94"
"Median Weekly Earnings","2011","Female","Construction (F)","Euro","388.64"
"Median Weekly Earnings","2011","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","330.32"
"Median Weekly Earnings","2011","Female","Transportation and storage (H)","Euro","498.38"
"Median Weekly Earnings","2011","Female","Accommodation and food service activities (I)","Euro","256.35"
"Median Weekly Earnings","2011","Female","Information and communication (J)","Euro","697.91"
"Median Weekly Earnings","2011","Female","Professional, scientific and technical activities (M)","Euro","514.37"
"Median Weekly Earnings","2011","Female","Administrative and support service activities (N)","Euro","346.76"
"Median Weekly Earnings","2011","Female","Public administration and defence; compulsory social security (O)","Euro","704.35"
"Median Weekly Earnings","2011","Female","Education (P)","Euro","711.65"
"Median Weekly Earnings","2011","Female","Human health and social work activities (Q)","Euro","567.84"
"Median Weekly Earnings","2011","Female","Industry (B to E)","Euro","558.15"
"Median Weekly Earnings","2011","Female","Financial, insurance and real estate activities (K,L)","Euro","658.91"
"Median Weekly Earnings","2011","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","300.17"
"Median Weekly Earnings","2012","Both sexes","All NACE economic sectors","Euro","527.06"
"Median Weekly Earnings","2012","Both sexes","Construction (F)","Euro","536.87"
"Median Weekly Earnings","2012","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","385.81"
"Median Weekly Earnings","2012","Both sexes","Transportation and storage (H)","Euro","585.05"
"Median Weekly Earnings","2012","Both sexes","Accommodation and food service activities (I)","Euro","284.65"
"Median Weekly Earnings","2012","Both sexes","Information and communication (J)","Euro","836.73"
"Median Weekly Earnings","2012","Both sexes","Professional, scientific and technical activities (M)","Euro","576.92"
"Median Weekly Earnings","2012","Both sexes","Administrative and support service activities (N)","Euro","408.68"
"Median Weekly Earnings","2012","Both sexes","Public administration and defence; compulsory social security (O)","Euro","810.2"
"Median Weekly Earnings","2012","Both sexes","Education (P)","Euro","742.29"
"Median Weekly Earnings","2012","Both sexes","Human health and social work activities (Q)","Euro","579.21"
"Median Weekly Earnings","2012","Both sexes","Industry (B to E)","Euro","642.91"
"Median Weekly Earnings","2012","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","738.46"
"Median Weekly Earnings","2012","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","332.78"
"Median Weekly Earnings","2012","Male","All NACE economic sectors","Euro","591.5"
"Median Weekly Earnings","2012","Male","Construction (F)","Euro","561.32"
"Median Weekly Earnings","2012","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","468.6"
"Median Weekly Earnings","2012","Male","Transportation and storage (H)","Euro","624.54"
"Median Weekly Earnings","2012","Male","Accommodation and food service activities (I)","Euro","325.93"
"Median Weekly Earnings","2012","Male","Information and communication (J)","Euro","919.58"
"Median Weekly Earnings","2012","Male","Professional, scientific and technical activities (M)","Euro","686.63"
"Median Weekly Earnings","2012","Male","Administrative and support service activities (N)","Euro","445.66"
"Median Weekly Earnings","2012","Male","Public administration and defence; compulsory social security (O)","Euro","887.97"
"Median Weekly Earnings","2012","Male","Education (P)","Euro","811.62"
"Median Weekly Earnings","2012","Male","Human health and social work activities (Q)","Euro","636.86"
"Median Weekly Earnings","2012","Male","Industry (B to E)","Euro","683.42"
"Median Weekly Earnings","2012","Male","Financial, insurance and real estate activities (K,L)","Euro","895.96"
"Median Weekly Earnings","2012","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","394.78"
"Median Weekly Earnings","2012","Female","All NACE economic sectors","Euro","466.67"
"Median Weekly Earnings","2012","Female","Construction (F)","Euro","369.31"
"Median Weekly Earnings","2012","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","328.53"
"Median Weekly Earnings","2012","Female","Transportation and storage (H)","Euro","497.84"
"Median Weekly Earnings","2012","Female","Accommodation and food service activities (I)","Euro","250.87"
"Median Weekly Earnings","2012","Female","Information and communication (J)","Euro","701.86"
"Median Weekly Earnings","2012","Female","Professional, scientific and technical activities (M)","Euro","510"
"Median Weekly Earnings","2012","Female","Administrative and support service activities (N)","Euro","348.65"
"Median Weekly Earnings","2012","Female","Public administration and defence; compulsory social security (O)","Euro","709.1"
"Median Weekly Earnings","2012","Female","Education (P)","Euro","715.01"
"Median Weekly Earnings","2012","Female","Human health and social work activities (Q)","Euro","565.35"
"Median Weekly Earnings","2012","Female","Industry (B to E)","Euro","559.77"
"Median Weekly Earnings","2012","Female","Financial, insurance and real estate activities (K,L)","Euro","661.82"
"Median Weekly Earnings","2012","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","297.34"
"Median Weekly Earnings","2013","Both sexes","All NACE economic sectors","Euro","530"
"Median Weekly Earnings","2013","Both sexes","Construction (F)","Euro","548.06"
"Median Weekly Earnings","2013","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","386.73"
"Median Weekly Earnings","2013","Both sexes","Transportation and storage (H)","Euro","587.73"
"Median Weekly Earnings","2013","Both sexes","Accommodation and food service activities (I)","Euro","285.46"
"Median Weekly Earnings","2013","Both sexes","Information and communication (J)","Euro","857.83"
"Median Weekly Earnings","2013","Both sexes","Professional, scientific and technical activities (M)","Euro","583.31"
"Median Weekly Earnings","2013","Both sexes","Administrative and support service activities (N)","Euro","414.09"
"Median Weekly Earnings","2013","Both sexes","Public administration and defence; compulsory social security (O)","Euro","828.92"
"Median Weekly Earnings","2013","Both sexes","Education (P)","Euro","730.88"
"Median Weekly Earnings","2013","Both sexes","Human health and social work activities (Q)","Euro","569.58"
"Median Weekly Earnings","2013","Both sexes","Industry (B to E)","Euro","649.04"
"Median Weekly Earnings","2013","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","744.4"
"Median Weekly Earnings","2013","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","328.54"
"Median Weekly Earnings","2013","Male","All NACE economic sectors","Euro","590.63"
"Median Weekly Earnings","2013","Male","Construction (F)","Euro","572.98"
"Median Weekly Earnings","2013","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","470.63"
"Median Weekly Earnings","2013","Male","Transportation and storage (H)","Euro","620.28"
"Median Weekly Earnings","2013","Male","Accommodation and food service activities (I)","Euro","325.78"
"Median Weekly Earnings","2013","Male","Information and communication (J)","Euro","945.19"
"Median Weekly Earnings","2013","Male","Professional, scientific and technical activities (M)","Euro","692.83"
"Median Weekly Earnings","2013","Male","Administrative and support service activities (N)","Euro","450.66"
"Median Weekly Earnings","2013","Male","Public administration and defence; compulsory social security (O)","Euro","909.06"
"Median Weekly Earnings","2013","Male","Education (P)","Euro","801.63"
"Median Weekly Earnings","2013","Male","Human health and social work activities (Q)","Euro","598.69"
"Median Weekly Earnings","2013","Male","Industry (B to E)","Euro","686.94"
"Median Weekly Earnings","2013","Male","Financial, insurance and real estate activities (K,L)","Euro","895.96"
"Median Weekly Earnings","2013","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","384.13"
"Median Weekly Earnings","2013","Female","All NACE economic sectors","Euro","469.74"
"Median Weekly Earnings","2013","Female","Construction (F)","Euro","365"
"Median Weekly Earnings","2013","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","330.02"
"Median Weekly Earnings","2013","Female","Transportation and storage (H)","Euro","512.76"
"Median Weekly Earnings","2013","Female","Accommodation and food service activities (I)","Euro","251.13"
"Median Weekly Earnings","2013","Female","Information and communication (J)","Euro","705.72"
"Median Weekly Earnings","2013","Female","Professional, scientific and technical activities (M)","Euro","516.36"
"Median Weekly Earnings","2013","Female","Administrative and support service activities (N)","Euro","352.5"
"Median Weekly Earnings","2013","Female","Public administration and defence; compulsory social security (O)","Euro","725.6"
"Median Weekly Earnings","2013","Female","Education (P)","Euro","708.05"
"Median Weekly Earnings","2013","Female","Human health and social work activities (Q)","Euro","561.92"
"Median Weekly Earnings","2013","Female","Industry (B to E)","Euro","568.04"
"Median Weekly Earnings","2013","Female","Financial, insurance and real estate activities (K,L)","Euro","670.21"
"Median Weekly Earnings","2013","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","297.38"
"Median Weekly Earnings","2014","Both sexes","All NACE economic sectors","Euro","530.21"
"Median Weekly Earnings","2014","Both sexes","Construction (F)","Euro","553.62"
"Median Weekly Earnings","2014","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","392.87"
"Median Weekly Earnings","2014","Both sexes","Transportation and storage (H)","Euro","580.6"
"Median Weekly Earnings","2014","Both sexes","Accommodation and food service activities (I)","Euro","286.67"
"Median Weekly Earnings","2014","Both sexes","Information and communication (J)","Euro","883.77"
"Median Weekly Earnings","2014","Both sexes","Professional, scientific and technical activities (M)","Euro","600.8"
"Median Weekly Earnings","2014","Both sexes","Administrative and support service activities (N)","Euro","422.19"
"Median Weekly Earnings","2014","Both sexes","Public administration and defence; compulsory social security (O)","Euro","821.96"
"Median Weekly Earnings","2014","Both sexes","Education (P)","Euro","713.89"
"Median Weekly Earnings","2014","Both sexes","Human health and social work activities (Q)","Euro","559.4"
"Median Weekly Earnings","2014","Both sexes","Industry (B to E)","Euro","655.75"
"Median Weekly Earnings","2014","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","744.23"
"Median Weekly Earnings","2014","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","326.6"
