"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Weekly Earnings","2012","Male","Administrative and support service activities (N)","Euro","546.33"
"Mean Weekly Earnings","2012","Male","Public administration and defence; compulsory social security (O)","Euro","952.74"
"Mean Weekly Earnings","2012","Male","Education (P)","Euro","867.11"
"Mean Weekly Earnings","2012","Male","Human health and social work activities (Q)","Euro","816.36"
"Mean Weekly Earnings","2012","Male","Industry (B to E)","Euro","867.42"
"Mean Weekly Earnings","2012","Male","Financial, insurance and real estate activities (K,L)","Euro","1239.17"
"Mean Weekly Earnings","2012","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","525.37"
"Mean Weekly Earnings","2012","Female","All NACE economic sectors","Euro","574.35"
"Mean Weekly Earnings","2012","Female","Construction (F)","Euro","431.7"
"Mean Weekly Earnings","2012","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","398.42"
"Mean Weekly Earnings","2012","Female","Transportation and storage (H)","Euro","573.2"
"Mean Weekly Earnings","2012","Female","Accommodation and food service activities (I)","Euro","279.67"
"Mean Weekly Earnings","2012","Female","Information and communication (J)","Euro","850.09"
"Mean Weekly Earnings","2012","Female","Professional, scientific and technical activities (M)","Euro","627.51"
"Mean Weekly Earnings","2012","Female","Administrative and support service activities (N)","Euro","413.83"
"Mean Weekly Earnings","2012","Female","Public administration and defence; compulsory social security (O)","Euro","766.25"
"Mean Weekly Earnings","2012","Female","Education (P)","Euro","736.25"
"Mean Weekly Earnings","2012","Female","Human health and social work activities (Q)","Euro","623.09"
"Mean Weekly Earnings","2012","Female","Industry (B to E)","Euro","683.29"
"Mean Weekly Earnings","2012","Female","Financial, insurance and real estate activities (K,L)","Euro","800.11"
"Mean Weekly Earnings","2012","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","364.96"
"Mean Weekly Earnings","2013","Both sexes","All NACE economic sectors","Euro","662.65"
"Mean Weekly Earnings","2013","Both sexes","Construction (F)","Euro","616.79"
"Mean Weekly Earnings","2013","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","490.96"
"Mean Weekly Earnings","2013","Both sexes","Transportation and storage (H)","Euro","689.52"
"Mean Weekly Earnings","2013","Both sexes","Accommodation and food service activities (I)","Euro","314.26"
"Mean Weekly Earnings","2013","Both sexes","Information and communication (J)","Euro","1033.64"
"Mean Weekly Earnings","2013","Both sexes","Professional, scientific and technical activities (M)","Euro","784.7"
"Mean Weekly Earnings","2013","Both sexes","Administrative and support service activities (N)","Euro","498.48"
"Mean Weekly Earnings","2013","Both sexes","Public administration and defence; compulsory social security (O)","Euro","888.65"
"Mean Weekly Earnings","2013","Both sexes","Education (P)","Euro","762.83"
"Mean Weekly Earnings","2013","Both sexes","Human health and social work activities (Q)","Euro","649.41"
"Mean Weekly Earnings","2013","Both sexes","Industry (B to E)","Euro","810.82"
"Mean Weekly Earnings","2013","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","992.12"
"Mean Weekly Earnings","2013","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","425"
"Mean Weekly Earnings","2013","Male","All NACE economic sectors","Euro","756.19"
"Mean Weekly Earnings","2013","Male","Construction (F)","Euro","641.27"
"Mean Weekly Earnings","2013","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","587.53"
"Mean Weekly Earnings","2013","Male","Transportation and storage (H)","Euro","722.14"
"Mean Weekly Earnings","2013","Male","Accommodation and food service activities (I)","Euro","356.46"
"Mean Weekly Earnings","2013","Male","Information and communication (J)","Euro","1132.06"
"Mean Weekly Earnings","2013","Male","Professional, scientific and technical activities (M)","Euro","948.53"
"Mean Weekly Earnings","2013","Male","Administrative and support service activities (N)","Euro","552.61"
"Mean Weekly Earnings","2013","Male","Public administration and defence; compulsory social security (O)","Euro","961.56"
"Mean Weekly Earnings","2013","Male","Education (P)","Euro","846.92"
"Mean Weekly Earnings","2013","Male","Human health and social work activities (Q)","Euro","763.94"
"Mean Weekly Earnings","2013","Male","Industry (B to E)","Euro","860.62"
"Mean Weekly Earnings","2013","Male","Financial, insurance and real estate activities (K,L)","Euro","1228.86"
"Mean Weekly Earnings","2013","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","513.46"
"Mean Weekly Earnings","2013","Female","All NACE economic sectors","Euro","573.76"
"Mean Weekly Earnings","2013","Female","Construction (F)","Euro","425.43"
"Mean Weekly Earnings","2013","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","401.27"
"Mean Weekly Earnings","2013","Female","Transportation and storage (H)","Euro","581.96"
"Mean Weekly Earnings","2013","Female","Accommodation and food service activities (I)","Euro","277.43"
"Mean Weekly Earnings","2013","Female","Information and communication (J)","Euro","858.99"
"Mean Weekly Earnings","2013","Female","Professional, scientific and technical activities (M)","Euro","638.68"
"Mean Weekly Earnings","2013","Female","Administrative and support service activities (N)","Euro","422.8"
"Mean Weekly Earnings","2013","Female","Public administration and defence; compulsory social security (O)","Euro","782.24"
"Mean Weekly Earnings","2013","Female","Education (P)","Euro","729.25"
"Mean Weekly Earnings","2013","Female","Human health and social work activities (Q)","Euro","616.91"
"Mean Weekly Earnings","2013","Female","Industry (B to E)","Euro","684.78"
"Mean Weekly Earnings","2013","Female","Financial, insurance and real estate activities (K,L)","Euro","802.69"
"Mean Weekly Earnings","2013","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","364.69"
"Mean Weekly Earnings","2014","Both sexes","All NACE economic sectors","Euro","662.76"
"Mean Weekly Earnings","2014","Both sexes","Construction (F)","Euro","618.46"
"Mean Weekly Earnings","2014","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","499.13"
"Mean Weekly Earnings","2014","Both sexes","Transportation and storage (H)","Euro","683.46"
"Mean Weekly Earnings","2014","Both sexes","Accommodation and food service activities (I)","Euro","315.45"
"Mean Weekly Earnings","2014","Both sexes","Information and communication (J)","Euro","1062.27"
"Mean Weekly Earnings","2014","Both sexes","Professional, scientific and technical activities (M)","Euro","800.58"
"Mean Weekly Earnings","2014","Both sexes","Administrative and support service activities (N)","Euro","509.24"
"Mean Weekly Earnings","2014","Both sexes","Public administration and defence; compulsory social security (O)","Euro","881.7"
"Mean Weekly Earnings","2014","Both sexes","Education (P)","Euro","744.65"
"Mean Weekly Earnings","2014","Both sexes","Human health and social work activities (Q)","Euro","638.92"
"Mean Weekly Earnings","2014","Both sexes","Industry (B to E)","Euro","824.96"
"Mean Weekly Earnings","2014","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","995.39"
"Mean Weekly Earnings","2014","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","425.19"
"Mean Weekly Earnings","2014","Male","All NACE economic sectors","Euro","754.71"
"Mean Weekly Earnings","2014","Male","Construction (F)","Euro","638.93"
"Mean Weekly Earnings","2014","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","593.5"
"Mean Weekly Earnings","2014","Male","Transportation and storage (H)","Euro","712.17"
"Mean Weekly Earnings","2014","Male","Accommodation and food service activities (I)","Euro","358.27"
"Mean Weekly Earnings","2014","Male","Information and communication (J)","Euro","1160.63"
"Mean Weekly Earnings","2014","Male","Professional, scientific and technical activities (M)","Euro","965.38"
"Mean Weekly Earnings","2014","Male","Administrative and support service activities (N)","Euro","563.79"
"Mean Weekly Earnings","2014","Male","Public administration and defence; compulsory social security (O)","Euro","948.08"
"Mean Weekly Earnings","2014","Male","Education (P)","Euro","822.78"
"Mean Weekly Earnings","2014","Male","Human health and social work activities (Q)","Euro","729.07"
"Mean Weekly Earnings","2014","Male","Industry (B to E)","Euro","873.27"
"Mean Weekly Earnings","2014","Male","Financial, insurance and real estate activities (K,L)","Euro","1231.37"
"Mean Weekly Earnings","2014","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","518.89"
"Mean Weekly Earnings","2014","Female","All NACE economic sectors","Euro","573.47"
"Mean Weekly Earnings","2014","Female","Construction (F)","Euro","443.19"
"Mean Weekly Earnings","2014","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","409.58"
"Mean Weekly Earnings","2014","Female","Transportation and storage (H)","Euro","586.82"
"Mean Weekly Earnings","2014","Female","Accommodation and food service activities (I)","Euro","278.07"
"Mean Weekly Earnings","2014","Female","Information and communication (J)","Euro","886.88"
"Mean Weekly Earnings","2014","Female","Professional, scientific and technical activities (M)","Euro","652.21"
"Mean Weekly Earnings","2014","Female","Administrative and support service activities (N)","Euro","432.31"
"Mean Weekly Earnings","2014","Female","Public administration and defence; compulsory social security (O)","Euro","789.52"
"Mean Weekly Earnings","2014","Female","Education (P)","Euro","713.67"
"Mean Weekly Earnings","2014","Female","Human health and social work activities (Q)","Euro","612.14"
"Mean Weekly Earnings","2014","Female","Industry (B to E)","Euro","702.22"
"Mean Weekly Earnings","2014","Female","Financial, insurance and real estate activities (K,L)","Euro","801.79"
"Mean Weekly Earnings","2014","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","362.08"
"Mean Weekly Earnings","2015","Both sexes","All NACE economic sectors","Euro","671.73"
"Mean Weekly Earnings","2015","Both sexes","Construction (F)","Euro","619.47"
"Mean Weekly Earnings","2015","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","510.72"
"Mean Weekly Earnings","2015","Both sexes","Transportation and storage (H)","Euro","685.24"
"Mean Weekly Earnings","2015","Both sexes","Accommodation and food service activities (I)","Euro","320.7"
"Mean Weekly Earnings","2015","Both sexes","Information and communication (J)","Euro","1097.79"
"Mean Weekly Earnings","2015","Both sexes","Professional, scientific and technical activities (M)","Euro","827.43"
"Mean Weekly Earnings","2015","Both sexes","Administrative and support service activities (N)","Euro","523.8"
"Mean Weekly Earnings","2015","Both sexes","Public administration and defence; compulsory social security (O)","Euro","884.11"
"Mean Weekly Earnings","2015","Both sexes","Education (P)","Euro","747.86"
"Mean Weekly Earnings","2015","Both sexes","Human health and social work activities (Q)","Euro","642.41"
"Mean Weekly Earnings","2015","Both sexes","Industry (B to E)","Euro","831.62"
"Mean Weekly Earnings","2015","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","1005.37"
"Mean Weekly Earnings","2015","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","427.99"
"Mean Weekly Earnings","2015","Male","All NACE economic sectors","Euro","763.47"
"Mean Weekly Earnings","2015","Male","Construction (F)","Euro","639.18"
"Mean Weekly Earnings","2015","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","608.08"
"Mean Weekly Earnings","2015","Male","Transportation and storage (H)","Euro","711.87"
"Mean Weekly Earnings","2015","Male","Accommodation and food service activities (I)","Euro","364.43"
"Mean Weekly Earnings","2015","Male","Information and communication (J)","Euro","1199.36"
"Mean Weekly Earnings","2015","Male","Professional, scientific and technical activities (M)","Euro","985.76"
"Mean Weekly Earnings","2015","Male","Administrative and support service activities (N)","Euro","577.57"
"Mean Weekly Earnings","2015","Male","Public administration and defence; compulsory social security (O)","Euro","945.73"
"Mean Weekly Earnings","2015","Male","Education (P)","Euro","818.7"
"Mean Weekly Earnings","2015","Male","Human health and social work activities (Q)","Euro","733.88"
"Mean Weekly Earnings","2015","Male","Industry (B to E)","Euro","878.16"
"Mean Weekly Earnings","2015","Male","Financial, insurance and real estate activities (K,L)","Euro","1241.72"
"Mean Weekly Earnings","2015","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","522.3"
"Mean Weekly Earnings","2015","Female","All NACE economic sectors","Euro","581.45"
"Mean Weekly Earnings","2015","Female","Construction (F)","Euro","450.8"
"Mean Weekly Earnings","2015","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","417.2"
"Mean Weekly Earnings","2015","Female","Transportation and storage (H)","Euro","594.38"
"Mean Weekly Earnings","2015","Female","Accommodation and food service activities (I)","Euro","282.5"
"Mean Weekly Earnings","2015","Female","Information and communication (J)","Euro","917.25"
"Mean Weekly Earnings","2015","Female","Professional, scientific and technical activities (M)","Euro","679.63"
"Mean Weekly Earnings","2015","Female","Administrative and support service activities (N)","Euro","447.12"
"Mean Weekly Earnings","2015","Female","Public administration and defence; compulsory social security (O)","Euro","799.92"
"Mean Weekly Earnings","2015","Female","Education (P)","Euro","719.73"
"Mean Weekly Earnings","2015","Female","Human health and social work activities (Q)","Euro","615.14"
"Mean Weekly Earnings","2015","Female","Industry (B to E)","Euro","710.75"
"Mean Weekly Earnings","2015","Female","Financial, insurance and real estate activities (K,L)","Euro","809.68"
"Mean Weekly Earnings","2015","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","364.04"
"Mean Weekly Earnings","2016","Both sexes","All NACE economic sectors","Euro","682.23"
"Mean Weekly Earnings","2016","Both sexes","Construction (F)","Euro","636.13"
"Mean Weekly Earnings","2016","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","524.41"
"Mean Weekly Earnings","2016","Both sexes","Transportation and storage (H)","Euro","694.93"
"Mean Weekly Earnings","2016","Both sexes","Accommodation and food service activities (I)","Euro","330.18"
"Mean Weekly Earnings","2016","Both sexes","Information and communication (J)","Euro","1124.15"
"Mean Weekly Earnings","2016","Both sexes","Professional, scientific and technical activities (M)","Euro","858.2"
"Mean Weekly Earnings","2016","Both sexes","Administrative and support service activities (N)","Euro","551"
"Mean Weekly Earnings","2016","Both sexes","Public administration and defence; compulsory social security (O)","Euro","880.04"
"Mean Weekly Earnings","2016","Both sexes","Education (P)","Euro","734.85"
"Mean Weekly Earnings","2016","Both sexes","Human health and social work activities (Q)","Euro","648.66"
"Mean Weekly Earnings","2016","Both sexes","Industry (B to E)","Euro","848.88"
"Mean Weekly Earnings","2016","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","1012.53"
"Mean Weekly Earnings","2016","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","435.22"
"Mean Weekly Earnings","2016","Male","All NACE economic sectors","Euro","775.48"
"Mean Weekly Earnings","2016","Male","Construction (F)","Euro","655.37"
"Mean Weekly Earnings","2016","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","621.49"
"Mean Weekly Earnings","2016","Male","Transportation and storage (H)","Euro","722.57"
"Mean Weekly Earnings","2016","Male","Accommodation and food service activities (I)","Euro","375.24"
